game,2012,12,20121122,201211220det,htx,"Houston Texans",34,det,"Detroit Lions",31
team,201211220det,htx,First Downs,26,,,,,,
team,201211220det,det,First Downs,29,,,,,,
team,201211220det,htx,Rush-Yds-TDs,28-205-3,,,,,,
team,201211220det,det,Rush-Yds-TDs,23-106-2,,,,,,
team,201211220det,htx,Cmp-Att-Yd-TD-INT,29-48-315-1-1,,,,,,
team,201211220det,det,Cmp-Att-Yd-TD-INT,31-61-441-2-0,,,,,,
team,201211220det,htx,Sacked-Yards,2-19,,,,,,
team,201211220det,det,Sacked-Yards,3-22,,,,,,
team,201211220det,htx,Net Pass Yards,296,,,,,,
team,201211220det,det,Net Pass Yards,419,,,,,,
team,201211220det,htx,Total Yards,501,,,,,,
team,201211220det,det,Total Yards,525,,,,,,
team,201211220det,htx,Fumbles-Lost,1-0,,,,,,
team,201211220det,det,Fumbles-Lost,2-1,,,,,,
team,201211220det,htx,Turnovers,1,,,,,,
team,201211220det,det,Turnovers,1,,,,,,
team,201211220det,htx,Penalties-Yards,8-66,,,,,,
team,201211220det,det,Penalties-Yards,7-70,,,,,,
team,201211220det,htx,Third Down Conv.,6-15,,,,,,
team,201211220det,det,Third Down Conv.,9-18,,,,,,
team,201211220det,htx,Fourth Down Conv.,1-1,,,,,,
team,201211220det,det,Fourth Down Conv.,0-0,,,,,,
team,201211220det,htx,Time of Possession,35:38,,,,,,
team,201211220det,det,Time of Possession,37:01,,,,,,
player,201211220det,htx,SchaMa00,pass_cmp,29,,,,,
player,201211220det,htx,SchaMa00,pass_att,48,,,,,
player,201211220det,htx,SchaMa00,pass_yds,315,,,,,
player,201211220det,htx,SchaMa00,pass_td,1,,,,,
player,201211220det,htx,SchaMa00,pass_int,1,,,,,
player,201211220det,htx,SchaMa00,pass_sacked,2,,,,,
player,201211220det,htx,SchaMa00,pass_sacked_yds,19,,,,,
player,201211220det,htx,SchaMa00,pass_long,43,,,,,
player,201211220det,htx,SchaMa00,pass_rating,78.0,,,,,
player,201211220det,htx,SchaMa00,rush_att,2,,,,,
player,201211220det,htx,SchaMa00,rush_yds,-1,,,,,
player,201211220det,htx,SchaMa00,rush_td,0,,,,,
player,201211220det,htx,SchaMa00,rush_long,0,,,,,
player,201211220det,htx,SchaMa00,targets,0,,,,,
player,201211220det,htx,SchaMa00,rec,0,,,,,
player,201211220det,htx,SchaMa00,rec_yds,0,,,,,
player,201211220det,htx,SchaMa00,rec_td,0,,,,,
player,201211220det,htx,SchaMa00,rec_long,0,,,,,
player,201211220det,htx,SchaMa00,fumbles,1,,,,,
player,201211220det,htx,SchaMa00,fumbles_lost,0,,,,,
player,201211220det,htx,FostAr00,pass_cmp,0,,,,,
player,201211220det,htx,FostAr00,pass_att,0,,,,,
player,201211220det,htx,FostAr00,pass_yds,0,,,,,
player,201211220det,htx,FostAr00,pass_td,0,,,,,
player,201211220det,htx,FostAr00,pass_int,0,,,,,
player,201211220det,htx,FostAr00,pass_sacked,0,,,,,
player,201211220det,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201211220det,htx,FostAr00,pass_long,0,,,,,
player,201211220det,htx,FostAr00,pass_rating,,,,,,
player,201211220det,htx,FostAr00,rush_att,20,,,,,
player,201211220det,htx,FostAr00,rush_yds,102,,,,,
player,201211220det,htx,FostAr00,rush_td,2,,,,,
player,201211220det,htx,FostAr00,rush_long,15,,,,,
player,201211220det,htx,FostAr00,targets,5,,,,,
player,201211220det,htx,FostAr00,rec,5,,,,,
player,201211220det,htx,FostAr00,rec_yds,15,,,,,
player,201211220det,htx,FostAr00,rec_td,0,,,,,
player,201211220det,htx,FostAr00,rec_long,5,,,,,
player,201211220det,htx,FostAr00,fumbles,0,,,,,
player,201211220det,htx,FostAr00,fumbles_lost,0,,,,,
player,201211220det,htx,ForsJu00,pass_cmp,0,,,,,
player,201211220det,htx,ForsJu00,pass_att,0,,,,,
player,201211220det,htx,ForsJu00,pass_yds,0,,,,,
player,201211220det,htx,ForsJu00,pass_td,0,,,,,
player,201211220det,htx,ForsJu00,pass_int,0,,,,,
player,201211220det,htx,ForsJu00,pass_sacked,0,,,,,
player,201211220det,htx,ForsJu00,pass_sacked_yds,0,,,,,
player,201211220det,htx,ForsJu00,pass_long,0,,,,,
player,201211220det,htx,ForsJu00,pass_rating,,,,,,
player,201211220det,htx,ForsJu00,rush_att,5,,,,,
player,201211220det,htx,ForsJu00,rush_yds,87,,,,,
player,201211220det,htx,ForsJu00,rush_td,1,,,,,
player,201211220det,htx,ForsJu00,rush_long,81,,,,,
player,201211220det,htx,ForsJu00,targets,1,,,,,
player,201211220det,htx,ForsJu00,rec,0,,,,,
player,201211220det,htx,ForsJu00,rec_yds,0,,,,,
player,201211220det,htx,ForsJu00,rec_td,0,,,,,
player,201211220det,htx,ForsJu00,rec_long,0,,,,,
player,201211220det,htx,ForsJu00,fumbles,0,,,,,
player,201211220det,htx,ForsJu00,fumbles_lost,0,,,,,
player,201211220det,htx,MartKe01,pass_cmp,0,,,,,
player,201211220det,htx,MartKe01,pass_att,0,,,,,
player,201211220det,htx,MartKe01,pass_yds,0,,,,,
player,201211220det,htx,MartKe01,pass_td,0,,,,,
player,201211220det,htx,MartKe01,pass_int,0,,,,,
player,201211220det,htx,MartKe01,pass_sacked,0,,,,,
player,201211220det,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201211220det,htx,MartKe01,pass_long,0,,,,,
player,201211220det,htx,MartKe01,pass_rating,,,,,,
player,201211220det,htx,MartKe01,rush_att,1,,,,,
player,201211220det,htx,MartKe01,rush_yds,17,,,,,
player,201211220det,htx,MartKe01,rush_td,0,,,,,
player,201211220det,htx,MartKe01,rush_long,17,,,,,
player,201211220det,htx,MartKe01,targets,3,,,,,
player,201211220det,htx,MartKe01,rec,2,,,,,
player,201211220det,htx,MartKe01,rec_yds,17,,,,,
player,201211220det,htx,MartKe01,rec_td,0,,,,,
player,201211220det,htx,MartKe01,rec_long,11,,,,,
player,201211220det,htx,MartKe01,fumbles,0,,,,,
player,201211220det,htx,MartKe01,fumbles_lost,0,,,,,
player,201211220det,htx,JohnAn02,pass_cmp,0,,,,,
player,201211220det,htx,JohnAn02,pass_att,0,,,,,
player,201211220det,htx,JohnAn02,pass_yds,0,,,,,
player,201211220det,htx,JohnAn02,pass_td,0,,,,,
player,201211220det,htx,JohnAn02,pass_int,0,,,,,
player,201211220det,htx,JohnAn02,pass_sacked,0,,,,,
player,201211220det,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201211220det,htx,JohnAn02,pass_long,0,,,,,
player,201211220det,htx,JohnAn02,pass_rating,,,,,,
player,201211220det,htx,JohnAn02,rush_att,0,,,,,
player,201211220det,htx,JohnAn02,rush_yds,0,,,,,
player,201211220det,htx,JohnAn02,rush_td,0,,,,,
player,201211220det,htx,JohnAn02,rush_long,0,,,,,
player,201211220det,htx,JohnAn02,targets,15,,,,,
player,201211220det,htx,JohnAn02,rec,9,,,,,
player,201211220det,htx,JohnAn02,rec_yds,188,,,,,
player,201211220det,htx,JohnAn02,rec_td,0,,,,,
player,201211220det,htx,JohnAn02,rec_long,43,,,,,
player,201211220det,htx,JohnAn02,fumbles,0,,,,,
player,201211220det,htx,JohnAn02,fumbles_lost,0,,,,,
player,201211220det,htx,CaseJa00,pass_cmp,0,,,,,
player,201211220det,htx,CaseJa00,pass_att,0,,,,,
player,201211220det,htx,CaseJa00,pass_yds,0,,,,,
player,201211220det,htx,CaseJa00,pass_td,0,,,,,
player,201211220det,htx,CaseJa00,pass_int,0,,,,,
player,201211220det,htx,CaseJa00,pass_sacked,0,,,,,
player,201211220det,htx,CaseJa00,pass_sacked_yds,0,,,,,
player,201211220det,htx,CaseJa00,pass_long,0,,,,,
player,201211220det,htx,CaseJa00,pass_rating,,,,,,
player,201211220det,htx,CaseJa00,rush_att,0,,,,,
player,201211220det,htx,CaseJa00,rush_yds,0,,,,,
player,201211220det,htx,CaseJa00,rush_td,0,,,,,
player,201211220det,htx,CaseJa00,rush_long,0,,,,,
player,201211220det,htx,CaseJa00,targets,5,,,,,
player,201211220det,htx,CaseJa00,rec,4,,,,,
player,201211220det,htx,CaseJa00,rec_yds,38,,,,,
player,201211220det,htx,CaseJa00,rec_td,0,,,,,
player,201211220det,htx,CaseJa00,rec_long,15,,,,,
player,201211220det,htx,CaseJa00,fumbles,0,,,,,
player,201211220det,htx,CaseJa00,fumbles_lost,0,,,,,
player,201211220det,htx,DaniOw00,pass_cmp,0,,,,,
player,201211220det,htx,DaniOw00,pass_att,0,,,,,
player,201211220det,htx,DaniOw00,pass_yds,0,,,,,
player,201211220det,htx,DaniOw00,pass_td,0,,,,,
player,201211220det,htx,DaniOw00,pass_int,0,,,,,
player,201211220det,htx,DaniOw00,pass_sacked,0,,,,,
player,201211220det,htx,DaniOw00,pass_sacked_yds,0,,,,,
player,201211220det,htx,DaniOw00,pass_long,0,,,,,
player,201211220det,htx,DaniOw00,pass_rating,,,,,,
player,201211220det,htx,DaniOw00,rush_att,0,,,,,
player,201211220det,htx,DaniOw00,rush_yds,0,,,,,
player,201211220det,htx,DaniOw00,rush_td,0,,,,,
player,201211220det,htx,DaniOw00,rush_long,0,,,,,
player,201211220det,htx,DaniOw00,targets,8,,,,,
player,201211220det,htx,DaniOw00,rec,4,,,,,
player,201211220det,htx,DaniOw00,rec_yds,20,,,,,
player,201211220det,htx,DaniOw00,rec_td,1,,,,,
player,201211220det,htx,DaniOw00,rec_long,9,,,,,
player,201211220det,htx,DaniOw00,fumbles,0,,,,,
player,201211220det,htx,DaniOw00,fumbles_lost,0,,,,,
player,201211220det,htx,WaltKe00,pass_cmp,0,,,,,
player,201211220det,htx,WaltKe00,pass_att,0,,,,,
player,201211220det,htx,WaltKe00,pass_yds,0,,,,,
player,201211220det,htx,WaltKe00,pass_td,0,,,,,
player,201211220det,htx,WaltKe00,pass_int,0,,,,,
player,201211220det,htx,WaltKe00,pass_sacked,0,,,,,
player,201211220det,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201211220det,htx,WaltKe00,pass_long,0,,,,,
player,201211220det,htx,WaltKe00,pass_rating,,,,,,
player,201211220det,htx,WaltKe00,rush_att,0,,,,,
player,201211220det,htx,WaltKe00,rush_yds,0,,,,,
player,201211220det,htx,WaltKe00,rush_td,0,,,,,
player,201211220det,htx,WaltKe00,rush_long,0,,,,,
player,201211220det,htx,WaltKe00,targets,6,,,,,
player,201211220det,htx,WaltKe00,rec,2,,,,,
player,201211220det,htx,WaltKe00,rec_yds,20,,,,,
player,201211220det,htx,WaltKe00,rec_td,0,,,,,
player,201211220det,htx,WaltKe00,rec_long,15,,,,,
player,201211220det,htx,WaltKe00,fumbles,0,,,,,
player,201211220det,htx,WaltKe00,fumbles_lost,0,,,,,
player,201211220det,htx,GrahGa00,pass_cmp,0,,,,,
player,201211220det,htx,GrahGa00,pass_att,0,,,,,
player,201211220det,htx,GrahGa00,pass_yds,0,,,,,
player,201211220det,htx,GrahGa00,pass_td,0,,,,,
player,201211220det,htx,GrahGa00,pass_int,0,,,,,
player,201211220det,htx,GrahGa00,pass_sacked,0,,,,,
player,201211220det,htx,GrahGa00,pass_sacked_yds,0,,,,,
player,201211220det,htx,GrahGa00,pass_long,0,,,,,
player,201211220det,htx,GrahGa00,pass_rating,,,,,,
player,201211220det,htx,GrahGa00,rush_att,0,,,,,
player,201211220det,htx,GrahGa00,rush_yds,0,,,,,
player,201211220det,htx,GrahGa00,rush_td,0,,,,,
player,201211220det,htx,GrahGa00,rush_long,0,,,,,
player,201211220det,htx,GrahGa00,targets,5,,,,,
player,201211220det,htx,GrahGa00,rec,3,,,,,
player,201211220det,htx,GrahGa00,rec_yds,17,,,,,
player,201211220det,htx,GrahGa00,rec_td,0,,,,,
player,201211220det,htx,GrahGa00,rec_long,11,,,,,
player,201211220det,htx,GrahGa00,fumbles,0,,,,,
player,201211220det,htx,GrahGa00,fumbles_lost,0,,,,,
player,201211220det,det,StafMa00,pass_cmp,31,,,,,
player,201211220det,det,StafMa00,pass_att,61,,,,,
player,201211220det,det,StafMa00,pass_yds,441,,,,,
player,201211220det,det,StafMa00,pass_td,2,,,,,
player,201211220det,det,StafMa00,pass_int,0,,,,,
player,201211220det,det,StafMa00,pass_sacked,3,,,,,
player,201211220det,det,StafMa00,pass_sacked_yds,22,,,,,
player,201211220det,det,StafMa00,pass_long,40,,,,,
player,201211220det,det,StafMa00,pass_rating,85.5,,,,,
player,201211220det,det,StafMa00,rush_att,2,,,,,
player,201211220det,det,StafMa00,rush_yds,7,,,,,
player,201211220det,det,StafMa00,rush_td,0,,,,,
player,201211220det,det,StafMa00,rush_long,6,,,,,
player,201211220det,det,StafMa00,targets,0,,,,,
player,201211220det,det,StafMa00,rec,0,,,,,
player,201211220det,det,StafMa00,rec_yds,0,,,,,
player,201211220det,det,StafMa00,rec_td,0,,,,,
player,201211220det,det,StafMa00,rec_long,0,,,,,
player,201211220det,det,StafMa00,fumbles,0,,,,,
player,201211220det,det,StafMa00,fumbles_lost,0,,,,,
player,201211220det,det,BellJo01,pass_cmp,0,,,,,
player,201211220det,det,BellJo01,pass_att,0,,,,,
player,201211220det,det,BellJo01,pass_yds,0,,,,,
player,201211220det,det,BellJo01,pass_td,0,,,,,
player,201211220det,det,BellJo01,pass_int,0,,,,,
player,201211220det,det,BellJo01,pass_sacked,0,,,,,
player,201211220det,det,BellJo01,pass_sacked_yds,0,,,,,
player,201211220det,det,BellJo01,pass_long,0,,,,,
player,201211220det,det,BellJo01,pass_rating,,,,,,
player,201211220det,det,BellJo01,rush_att,5,,,,,
player,201211220det,det,BellJo01,rush_yds,47,,,,,
player,201211220det,det,BellJo01,rush_td,1,,,,,
player,201211220det,det,BellJo01,rush_long,26,,,,,
player,201211220det,det,BellJo01,targets,2,,,,,
player,201211220det,det,BellJo01,rec,0,,,,,
player,201211220det,det,BellJo01,rec_yds,0,,,,,
player,201211220det,det,BellJo01,rec_td,0,,,,,
player,201211220det,det,BellJo01,rec_long,0,,,,,
player,201211220det,det,BellJo01,fumbles,0,,,,,
player,201211220det,det,BellJo01,fumbles_lost,0,,,,,
player,201211220det,det,LeshMi00,pass_cmp,0,,,,,
player,201211220det,det,LeshMi00,pass_att,0,,,,,
player,201211220det,det,LeshMi00,pass_yds,0,,,,,
player,201211220det,det,LeshMi00,pass_td,0,,,,,
player,201211220det,det,LeshMi00,pass_int,0,,,,,
player,201211220det,det,LeshMi00,pass_sacked,0,,,,,
player,201211220det,det,LeshMi00,pass_sacked_yds,0,,,,,
player,201211220det,det,LeshMi00,pass_long,0,,,,,
player,201211220det,det,LeshMi00,pass_rating,,,,,,
player,201211220det,det,LeshMi00,rush_att,12,,,,,
