game,2017,1,20170911,201709110den,sdg,"Los Angeles Chargers",21,den,"Denver Broncos",24
player,201709110den,sdg,OnwuJa00,fumbles_rec_yds,0,,,,,
player,201709110den,sdg,OnwuJa00,fumbles_rec_td,0,,,,,
player,201709110den,sdg,OnwuJa00,fumbles_forced,0,,,,,
player,201709110den,sdg,PhilDa01,def_int,0,,,,,
player,201709110den,sdg,PhilDa01,def_int_yds,0,,,,,
player,201709110den,sdg,PhilDa01,def_int_td,0,,,,,
player,201709110den,sdg,PhilDa01,def_int_long,0,,,,,
player,201709110den,sdg,PhilDa01,pass_defended,0,,,,,
player,201709110den,sdg,PhilDa01,sacks,0.0,,,,,
player,201709110den,sdg,PhilDa01,tackles_combined,1,,,,,
player,201709110den,sdg,PhilDa01,tackles_solo,0,,,,,
player,201709110den,sdg,PhilDa01,tackles_assists,1,,,,,
player,201709110den,sdg,PhilDa01,tackles_loss,0,,,,,
player,201709110den,sdg,PhilDa01,qb_hits,1,,,,,
player,201709110den,sdg,PhilDa01,fumbles_rec,0,,,,,
player,201709110den,sdg,PhilDa01,fumbles_rec_yds,0,,,,,
player,201709110den,sdg,PhilDa01,fumbles_rec_td,0,,,,,
player,201709110den,sdg,PhilDa01,fumbles_forced,0,,,,,
player,201709110den,sdg,RochIs00,def_int,0,,,,,
player,201709110den,sdg,RochIs00,def_int_yds,0,,,,,
player,201709110den,sdg,RochIs00,def_int_td,0,,,,,
player,201709110den,sdg,RochIs00,def_int_long,0,,,,,
player,201709110den,sdg,RochIs00,pass_defended,0,,,,,
player,201709110den,sdg,RochIs00,sacks,0.0,,,,,
player,201709110den,sdg,RochIs00,tackles_combined,1,,,,,
player,201709110den,sdg,RochIs00,tackles_solo,1,,,,,
player,201709110den,sdg,RochIs00,tackles_assists,0,,,,,
player,201709110den,sdg,RochIs00,tackles_loss,0,,,,,
player,201709110den,sdg,RochIs00,qb_hits,0,,,,,
player,201709110den,sdg,RochIs00,fumbles_rec,0,,,,,
player,201709110den,sdg,RochIs00,fumbles_rec_yds,0,,,,,
player,201709110den,sdg,RochIs00,fumbles_rec_td,0,,,,,
player,201709110den,sdg,RochIs00,fumbles_forced,0,,,,,
player,201709110den,sdg,SquaDa00,def_int,0,,,,,
player,201709110den,sdg,SquaDa00,def_int_yds,0,,,,,
player,201709110den,sdg,SquaDa00,def_int_td,0,,,,,
player,201709110den,sdg,SquaDa00,def_int_long,0,,,,,
player,201709110den,sdg,SquaDa00,pass_defended,0,,,,,
player,201709110den,sdg,SquaDa00,sacks,0.0,,,,,
player,201709110den,sdg,SquaDa00,tackles_combined,1,,,,,
player,201709110den,sdg,SquaDa00,tackles_solo,0,,,,,
player,201709110den,sdg,SquaDa00,tackles_assists,1,,,,,
player,201709110den,sdg,SquaDa00,tackles_loss,0,,,,,
player,201709110den,sdg,SquaDa00,qb_hits,0,,,,,
player,201709110den,sdg,SquaDa00,fumbles_rec,0,,,,,
player,201709110den,sdg,SquaDa00,fumbles_rec_yds,0,,,,,
player,201709110den,sdg,SquaDa00,fumbles_rec_td,0,,,,,
player,201709110den,sdg,SquaDa00,fumbles_forced,0,,,,,
player,201709110den,sdg,VerrJa00,def_int,0,,,,,
player,201709110den,sdg,VerrJa00,def_int_yds,0,,,,,
player,201709110den,sdg,VerrJa00,def_int_td,0,,,,,
player,201709110den,sdg,VerrJa00,def_int_long,0,,,,,
player,201709110den,sdg,VerrJa00,pass_defended,0,,,,,
player,201709110den,sdg,VerrJa00,sacks,0.0,,,,,
player,201709110den,sdg,VerrJa00,tackles_combined,1,,,,,
player,201709110den,sdg,VerrJa00,tackles_solo,1,,,,,
player,201709110den,sdg,VerrJa00,tackles_assists,0,,,,,
player,201709110den,sdg,VerrJa00,tackles_loss,0,,,,,
player,201709110den,sdg,VerrJa00,qb_hits,0,,,,,
player,201709110den,sdg,VerrJa00,fumbles_rec,0,,,,,
player,201709110den,sdg,VerrJa00,fumbles_rec_yds,0,,,,,
player,201709110den,sdg,VerrJa00,fumbles_rec_td,0,,,,,
player,201709110den,sdg,VerrJa00,fumbles_forced,0,,,,,
player,201709110den,sdg,KingDe01,def_int,0,,,,,
player,201709110den,sdg,KingDe01,def_int_yds,0,,,,,
player,201709110den,sdg,KingDe01,def_int_td,0,,,,,
player,201709110den,sdg,KingDe01,def_int_long,0,,,,,
