game,2010,4,20101003,201010030buf,nyj,"New York Jets",38,buf,"Buffalo Bills",14
player,201010030buf,buf,ParrRo00,pass_int,0,,,,,
player,201010030buf,buf,ParrRo00,pass_sacked,,,,,,
player,201010030buf,buf,ParrRo00,pass_sacked_yds,,,,,,
player,201010030buf,buf,ParrRo00,pass_long,0,,,,,
player,201010030buf,buf,ParrRo00,pass_rating,,,,,,
player,201010030buf,buf,ParrRo00,rush_att,0,,,,,
player,201010030buf,buf,ParrRo00,rush_yds,0,,,,,
player,201010030buf,buf,ParrRo00,rush_td,0,,,,,
player,201010030buf,buf,ParrRo00,rush_long,0,,,,,
player,201010030buf,buf,ParrRo00,targets,4,,,,,
player,201010030buf,buf,ParrRo00,rec,1,,,,,
player,201010030buf,buf,ParrRo00,rec_yds,7,,,,,
player,201010030buf,buf,ParrRo00,rec_td,0,,,,,
player,201010030buf,buf,ParrRo00,rec_long,7,,,,,
player,201010030buf,buf,ParrRo00,fumbles,0,,,,,
player,201010030buf,buf,ParrRo00,fumbles_lost,,,,,,
player,201010030buf,buf,EvanLe00,pass_cmp,0,,,,,
player,201010030buf,buf,EvanLe00,pass_att,0,,,,,
player,201010030buf,buf,EvanLe00,pass_yds,0,,,,,
player,201010030buf,buf,EvanLe00,pass_td,0,,,,,
player,201010030buf,buf,EvanLe00,pass_int,0,,,,,
player,201010030buf,buf,EvanLe00,pass_sacked,,,,,,
player,201010030buf,buf,EvanLe00,pass_sacked_yds,,,,,,
player,201010030buf,buf,EvanLe00,pass_long,0,,,,,
player,201010030buf,buf,EvanLe00,pass_rating,,,,,,
player,201010030buf,buf,EvanLe00,rush_att,0,,,,,
player,201010030buf,buf,EvanLe00,rush_yds,0,,,,,
player,201010030buf,buf,EvanLe00,rush_td,0,,,,,
player,201010030buf,buf,EvanLe00,rush_long,0,,,,,
player,201010030buf,buf,EvanLe00,targets,6,,,,,
player,201010030buf,buf,EvanLe00,rec,1,,,,,
player,201010030buf,buf,EvanLe00,rec_yds,6,,,,,
player,201010030buf,buf,EvanLe00,rec_td,0,,,,,
player,201010030buf,buf,EvanLe00,rec_long,6,,,,,
player,201010030buf,buf,EvanLe00,fumbles,0,,,,,
player,201010030buf,buf,EvanLe00,fumbles_lost,,,,,,
player,201010030buf,buf,MartDa00,pass_cmp,0,,,,,
player,201010030buf,buf,MartDa00,pass_att,0,,,,,
player,201010030buf,buf,MartDa00,pass_yds,0,,,,,
player,201010030buf,buf,MartDa00,pass_td,0,,,,,
player,201010030buf,buf,MartDa00,pass_int,0,,,,,
player,201010030buf,buf,MartDa00,pass_sacked,,,,,,
player,201010030buf,buf,MartDa00,pass_sacked_yds,,,,,,
player,201010030buf,buf,MartDa00,pass_long,0,,,,,
player,201010030buf,buf,MartDa00,pass_rating,,,,,,
player,201010030buf,buf,MartDa00,rush_att,0,,,,,
player,201010030buf,buf,MartDa00,rush_yds,0,,,,,
player,201010030buf,buf,MartDa00,rush_td,0,,,,,
player,201010030buf,buf,MartDa00,rush_long,0,,,,,
player,201010030buf,buf,MartDa00,targets,1,,,,,
player,201010030buf,buf,MartDa00,rec,1,,,,,
player,201010030buf,buf,MartDa00,rec_yds,4,,,,,
player,201010030buf,buf,MartDa00,rec_td,1,,,,,
player,201010030buf,buf,MartDa00,rec_long,4,,,,,
player,201010030buf,buf,MartDa00,fumbles,0,,,,,
